MACD|110022| eConsumption |5, 10, 37| 69.115635200000014,
MACD|110003| eSSE50|6, 24, 65| 47.789947559999973,
MACD|110020| HS300|19, 34, 69| 23.323488000000015,
MACD|110028| anxinB|17, 32, 89| 12.543257519999996,
MACD|002963| egold|20, 19, 89| 1.5666868000000118,
MACD|003321| eoil|1, 13, 64| 24.28305155,
MACD|004744| eGEI|1, 50, 50| 1.9942221199999899,
MACD|110031| eHSI|17, 39, 96| 15.212850880000008,
MACD|161130| eNASDAQ100|20, 19, 97| 9.8934821999999887,
MACD|161125| SPX500|18, 43, 67| 9.1397807199999992,
MACD|110022| eConsumption |5, 10, 37| 69.115635200000014,
MACD|110003| eSSE50|6, 24, 65| 47.789947559999973,
MACD|160222|国泰国证食品饮料行业指数分级|3, 7, 97|32.97278

MA|160222|国泰国证食品饮料行业指数分级|1, 10, 99|23.73437
MA|160222|国泰国证食品饮料行业指数分级|11, 10, 13|27.05073
MA|110022|eConsumption |20, 8, 90|30.12688
MA|110003|eSSE50|17, 18, 56|25.34664
MA|110020|HS300|20, 10, 44|13.54273
MA|110028|anxinB|8, 8, 32|3.8957
MA|002963|egold|1, 6, 12|2.401
MA|003321|eoil|17, 6, 56|24.70722
MA|004744|eGEI|6, 7, 100|7.05999
MA|110031|eHSI|8, 6, 34|14.02487
MA|161130|eNASDAQ100|9, 36, 12|11.02345
MA|161125|SPX500|2, 39, 17|10.18168

DMA|160222|国泰国证食品饮料行业指数分级|14, 27, 78|10.8117
MA|160222|国泰国证食品饮料行业指数分级|1, 10, 89|23.73437
MACD|160222|国泰国证食品饮料行业指数分级|4, 9, 78|32.97278
TRIX|160222|国泰国证食品饮料行业指数分级|12, 9, 78|7.02884
DMA|110022|eConsumption |17, 31, 78|25.39119
MA|110022|eConsumption |19, 7, 78|30.12688
MACD|110022|eConsumption |10, 21, 78|28.49607
TRIX|110022|eConsumption |1, 32, 78|29.85222
DMA|110003|eSSE50|6, 30, 78|9.98048
MA|110003|eSSE50|6, 6, 16|26.20661
MACD|110003|eSSE50|19, 21, 72|25.34664
TRIX|110003|eSSE50|9, 49, 78|9.94463
DMA|110020|HS300|18, 29, 78|7.24066
MA|110020|HS300|6, 6, 10|14.02331
MACD|110020|HS300|6, 55, 78|9.52746
TRIX|110020|HS300|13, 30, 78|6.44664
DMA|110028|anxinB|20, 34, 78|3.71367
MA|110028|anxinB|10, 8, 22|3.8957
MACD|110028|anxinB|10, 25, 78|3.832
TRIX|110028|anxinB|11, 20, 78|3.36012
DMA|002963|egold|5, 16, 78|3.04324
MA|002963|egold|1, 7, 10|2.401
MACD|002963|egold|19, 10, 72|0.95787
TRIX|002963|egold|6, 9, 78|2.71533
DMA|003321|eoil|14, 45, 78|12.08337
MA|003321|eoil|18, 6, 72|24.70722
MACD|003321|eoil|3, 35, 78|17.40164
TRIX|003321|eoil|6, 9, 78|6.83046
DMA|004744|eGEI|2, 10, 78|2.72784
MA|004744|eGEI|6, 7, 95|7.05999
MACD|004744|eGEI|2, 6, 78|7.57617
TRIX|004744|eGEI|5, 20, 78|1.82664
DMA|110031|eHSI|2, 16, 78|11.32942
MA|110031|eHSI|9, 7, 78|14.02487
MACD|110031|eHSI|17, 11, 78|11.72215
TRIX|110031|eHSI|6, 9, 78|11.27058
DMA|161130|eNASDAQ100|17, 13, 78|4.7883
MA|161130|eNASDAQ100|12, 34, 14|10.94492
MACD|161130|eNASDAQ100|1, 17, 82|8.56408
TRIX|161130|eNASDAQ100|6, 9, 78|2.15505
DMA|161125|SPX500|2, 10, 78|2.21374
MA|161125|SPX500|2, 38, 17|10.18168
MACD|161125|SPX500|20, 15, 72|8.431
TRIX|161125|SPX500|5, 20, 78|2.19041
